auteur_joconde,qid_wikidata,label_wikidata,naissance,deces,trouve
Lardeur Raymond (1908-1973),Q98804312,Raymond Lardeur,1908.0,1973.0,True
Boggs Frank Myers (1855-1926),,,1855.0,1926.0,False
Bonnard Pierre (1867-1947),Q26408,Pierre Bonnard,1867.0,1947.0,True
Zadkine Ossip (1890-1967),Q160172,Ossip Zadkine,1888.0,1967.0,True
Couture Thomas (1815-1879),Q326434,Thomas Couture,1815.0,1879.0,True
CHALANDRE Fernand (graveur),Q15407076,Fernand Chalandre,1879.0,,True
David d'Angers Pierre-Jean (1788-1856);Eyck et Durand (fondeur),,,1788.0,1856.0,False
VALENCIENNES Pierre de,,,,,False
Pompon François (1855-1933),Q609754,François Pompon,1855.0,1933.0,True
RINGEL D'ILLZACH Jean-Désiré,,,,,False
Langlois Jean Charles (1789-1870),,,1789.0,1870.0,False
Rodin Auguste (1840-1917);RUDIER Alexis (fondeur),Q30755,Auguste Rodin,1840.0,1917.0,True
Genis René (1922-2004),Q3426260,René Genis,1922.0,2004.0,True
Zadkine Ossip (1890-1967);Susse Frères (-),Q160172,Ossip Zadkine,1888.0,1967.0,True
Moullin Louis (1817-1876),Q26791579,Louis Moullin,1817.0,1876.0,True
DESROCHERS Etienne Jehandier (1668-1741) : Graveur Editeur,,,1668.0,1741.0,False
Robert Hubert (1733-1808),Q548205,Hubert Robert,1733.0,1808.0,True
Piranesi Giambattista (1720-1778),,,1720.0,1778.0,False
Redon Odilon (1840-1916),Q154349,Odilon Redon,1840.0,1916.0,True
VARENNE Henri,Q21222277,Henri Varenne,1860.0,,True
BRASCASSAT Jacques-Raymond (peintre),,,,,False
Scheffer Ary (1795-1858),Q436726,Ary Scheffer,1795.0,1858.0,True
SIMART Pierre Charles,,,,,False
Ingres Jean-Auguste-Dominique (1780-1867),Q23380,Jean-Auguste-Dominique Ingres,1780.0,1867.0,True
Fontaine Edmé Adolphe (1814-1883),,,1814.0,1883.0,False
Desbois Jules (1851-1935),Q3188532,Jules Desbois,1851.0,1935.0,True
Sarrabezolles Carlo (1888-1971),Q2939255,Carlo Sarrabezolles,1888.0,1971.0,True
Baudichon René (1878-1963),Q3425813,René Baudichon,1878.0,1963.0,True
Jonas Lucien (1880-1947),Q3265566,Lucien Jonas,1880.0,1947.0,True
Gudin Théodore (1802-1880),Q555885,Théodore Gudin,1802.0,1880.0,True
DESROCHERS Etienne Jehandier (1668-1741) : ((Graveur Editeur)),,,1668.0,1741.0,False
RENOIR Pierre Auguste,,,,,False
Toulouse Roger (1918-1994),Q3439501,Roger Toulouse,1918.0,1994.0,True
Bardone Guy (1927-2015),Q21465699,Guy Bardone,1927.0,2015.0,True
Monet Claude (1840-1926),Q296,Claude Monet,1840.0,1926.0,True
Baraquin Léopold (1813-1892),,,1813.0,1892.0,False
Bernard Émile (1868-1941),Q264193,Émile Bernard,1868.0,1941.0,True
CHAPU Henri Michel Antoine (sculpteur),,,,,False
Le Brun Charles (1619-1690),Q271676,Charles Le Brun,1619.0,1690.0,True
Niclausse Paul (1879-1958),Q3371909,Paul Niclausse,1879.0,1958.0,True
Uhde Anne-Marie (1889-1988),Q2850898,Anne-Marie Uhde,1889.0,1988.0,True
Denon Dominique Vivant (1747-1825),,,1747.0,1825.0,False
Chassériau Théodore (1819-1856),Q342467,Théodore Chassériau,1819.0,1856.0,True
BOUCHER Alfred,Q1230730,Alfred Boucher,1850.0,,True
Lacaze Théophile (1799-1846),,,1799.0,1846.0,False
Léger Fernand (1881-1955),Q157183,Fernand Léger,1881.0,1955.0,True
Fragonard Jean-Honoré (1732-1806),Q127171,Jean-Honoré Fragonard,1732.0,1806.0,True
Jubault Louis Auguste (1824-?),,,,,False
Marchand André (1907-1997),Q344446,André Marchand,1907.0,1997.0,True
BLONDEL Merry Joseph,,,,,False
Rubens Petrus Paulus (1577-1640),,,1577.0,1640.0,False
BOILLY Louis Léopold,,,,,False
BUGATTI Rembrandt,Q1300641,Rembrandt Bugatti,1884.0,,True
KLEY Louis (auteur),Q21030300,Louis Kley,1833.0,,True
MILAN André,Q56640635,André Milan,1894.0,,True
Dupertuis Marcel (1941-....),Q85095436,Marcel Dupertuis,1941.0,,True
Reyre Valentine (1889-1943),Q3553652,Valentine Reyre,1889.0,1943.0,True
BINET René (auteur),Q3425860,René Binet,1913.0,,True
Daubigny Charles-François (1817-1878),Q252357,Charles-François Daubigny,1817.0,1878.0,True
DESPIAU Charles,Q82291,Charles Despiau,1874.0,,True
manufacture de L'Isle-Adam (manufacture),,,,,False
Millet Jean-François (1814-1875),Q148458,Jean-François Millet,1814.0,1875.0,True
Brivet (18..-18..?),,,,,False
Carriès Jean (1855-1894),,,1855.0,1894.0,False
Girodet Anne-Louis (1767-1824),Q433434,Anne-Louis Girodet,1767.0,1824.0,True
JORON Maurice (peintre),Q16222632,Maurice Joron,1883.0,,True
Champaigne Philippe de (1602-1674),Q314814,Philippe de Champaigne,1602.0,1674.0,True
Houdon Jean-Antoine (1741-1828),Q318741,Jean-Antoine Houdon,1741.0,1828.0,True
Boisselier Félix (1776-1811),Q3092383,Félix Boisselier,1776.0,1811.0,True
WIESEN Theo (dit);WIESEN Theodor (patronyme),Q24205968,Theo Wiesen,1906.0,,True
Géricault Théodore (1791-1824),Q184212,Théodore Géricault,1791.0,1824.0,True
Marquet Albert (1875-1947),Q267858,Albert Marquet,1875.0,1947.0,True
Degas Edgar (1834-1917);HEBRARD A A (fondeur),Q46373,Edgar Degas,1834.0,1917.0,True
Serra Antoine (1908-1995),Q2856724,Antoine Serra,1908.0,1995.0,True
Rodin Auguste (1840-1917);RUDIER Georges (fondeur),Q30755,Auguste Rodin,1840.0,1917.0,True
WLERICK Robert,,,,,False
Guingot Louis (1864-1948),Q3262117,Louis Guingot,1864.0,1948.0,True
Traviès Edouard (1809-1876),,,1809.0,1876.0,False
Callot Jacques (1592-1635);Henriet Israël (1590-1661) (éditeur),Q460124,Jacques Callot,1592.0,1635.0,True
LANCELOT Gustave,Q52218625,Gustave Lancelot,1830.0,,True
DRIVIER Léon,,,,,False
Bichet Pierre (1922-2008),Q15965410,Pierre Bichet,1922.0,2008.0,True
AXILETTE Alexis,Q4059926,Alexis Axilette,1860.0,,True
AMY Jean Barnabé,,,,,False
Bonnat Léon (1833-1922),Q170259,Léon Bonnat,1833.0,1922.0,True
Oudry Jean-Baptiste (1686-1755),Q737137,Jean-Baptiste Oudry,1686.0,1755.0,True
DEVAMBEZ André Victor Edouard,,,,,False
KLEY Louis (dessinateur),Q21030300,Louis Kley,1833.0,,True
Roll Alfred Philippe (1846-1919),,,1846.0,1919.0,False
BRUN Edme Gustave Frédéric,,,,,False
Hallo Charles-Jean (1882-1969),Q2958150,Charles-Jean Hallo,1882.0,1969.0,True
Gormand Johé (1905-1963),,,1905.0,1963.0,False
Vuillard Édouard (1868-1940),Q239394,Édouard Vuillard,1868.0,1940.0,True
Triqueti Henry de (1803-1874),Q302580,Henry de Triqueti,1803.0,1874.0,True
Filleul de Pétigny Clara (1822-1878),,,1822.0,1878.0,False
Le Sueur Eustache (1616-1655),Q1378723,Eustache Le Sueur,1616.0,1655.0,True
"ABBATE Nicolo Dell';PRIMATICCIO Francesco (d'après);LE PRIMATICE (d'après, dit)",,,,,False
ROBILLARD André,Q2848549,André Robillard,1931.0,,True
FAUDACQ Louis Marie,,,,,False
PERRIER François (1594-1649);POILLY François I de (1623-1693) : Editeur,Q82566,François Perrier,1594.0,1649.0,True
Szekely Pierre (1923-2001),Q465967,Pierre Székely,1923.0,2001.0,True
BINET René (peintre),Q3425860,René Binet,1913.0,,True
Inconnu (-),,,,,False
Silvestre Israël (1621-1691) (graveur);Henriet Israël (1590-1661) (éditeur),Q358612,Israël Silvestre,1621.0,1691.0,True
Cézanne Paul (1839-1906),Q35548,Paul Cézanne,1839.0,1906.0,True
BARRIAS Félix Joseph,,,,,False
FREMIET Emmanuel,,,,,False
Lacombe Georges (1868-1916),Q652723,Georges Lacombe,1868.0,1916.0,True
Landelle Charles (1821-1908),Q1065263,Charles Landelle,1821.0,1908.0,True
de Lambilly Charles Ferdinand,,,,,False
Natoire Charles (1700-1777),,,1700.0,1777.0,False
Maurin Charles (1856-1914),Q371549,Charles Maurin,1856.0,1914.0,True
FALGUIERE Jean Alexandre Joseph,,,,,False
Lebacq Georges Émile (1876-1950),,,1876.0,1950.0,False
Falguière Alexandre Jean Joseph (1831-1900),,,1831.0,1900.0,False
AMMAN Jost (1539-1591) : Graveur,,,1539.0,1591.0,False
Lhote André (1885-1962),Q463065,André Lhote,1885.0,1962.0,True
MEISSONNIER Joseph (peintre),Q28919939,Joseph Meissonnier,1794.0,,True
Meissonier Ernest (1815-1891),Q354786,Ernest Meissonier,1815.0,1891.0,True
VERNET Horace,Q161145,Horace Vernet,1789.0,,True
PISSARRO Camille,Q134741,Camille Pissarro,1830.0,,True
Saint Phalle Niki de (1930-2002),Q168704,Niki de Saint Phalle,1930.0,2002.0,True
David d'Angers (Pierre-Jean David dit) (1788-1856);Thiébaut Frères (-),,,1788.0,1856.0,False
Ravier François-Auguste (1814-1895),Q3083302,François-Auguste Ravier,1814.0,1895.0,True
Sisley Alfred (1839-1899),Q175130,Alfred Sisley,1839.0,1899.0,True
Doré Gustave (1832-1883),Q6682,Gustave Doré,1832.0,1883.0,True
Téniers David (1610-1690),,,1610.0,1690.0,False
David d'Angers Pierre-Jean (1788-1856);Richard Frères (fondeur),,,1788.0,1856.0,False
Pointelin Auguste (1839-1933),Q2871362,Auguste Pointelin,1839.0,1933.0,True
Daura Pierre (1896-1976),Q2742552,Pierre Daura,1896.0,1976.0,True
Maufra Maxime (1861-1918),Q1856520,Maxime Maufra,1861.0,1918.0,True
Ecole française (-),,,,,False
David d'Angers (Pierre-Jean David dit) (1788-1856);Richard Louis (1791-1879),,,1788.0,1856.0,False
Biennais Martin Guillaume (1764-1843),,,1764.0,1843.0,False
DECAMPS Alexandre Gabriel,,,,,False
VAN DER MEULEN Adam Frans,,,,,False
DUGASSEAU Charles,Q24037711,Charles Dugasseau,1812.0,,True
Viallat Claude (1936-....),Q2978246,Claude Viallat,1936.0,,True
Carrière Jean-René (1888-1982),Q23636731,Jean-René Carrière,1888.0,1982.0,True
Dubois Jean (1625-1694),Q17189329,Jean Dubois,1625.0,1694.0,True
Rivière Henri (1864-1951),Q2731112,Henri Rivière,1864.0,1951.0,True
Thulden Theodoor van (1606-1669);Primaticcio Francesco (1504-1570);Mariette Pierre (1634-1716),Q260817,Q260817,1606.0,1669.0,True
Desportes François (1661-1743),Q122413701,François Desportes,1951.0,1743.0,True
Français Louis (1814-1897),,,1814.0,1897.0,False
CHARLOT Louis,Q137538861,Louis Charlot,,,True
Fortuny Mariano (1838-1874),Q1113061,Mariano Fortuny y Madrazo,1871.0,1874.0,True
Manufacture indéterminée,,,,,False
Parrocel Joseph François (1704-1781),,,1704.0,1781.0,False
DELPLANQUE Georges Emile,,,,,False
PETER Victor,Q3557500,Victor Peter,1840.0,,True
Janmot Louis (1814-1892) (dessinateur),Q1382422,Louis Janmot,1814.0,1892.0,True
David (1748-1825),Q109229184,David,1748.0,1825.0,True
Asse Geneviève (1923-2021),Q1978192,Geneviève Asse,1923.0,2021.0,True
Son Johannès (1859-1942),,,1859.0,1942.0,False
Dubois Ambroise (1543-1614),Q2415583,Ambroise Dubois,1542.0,1614.0,True
GORIN Jean (dit);GORIN Jean-Albert (patronyme),Q737882,Jean Gorin,1899.0,,True
Beaufrère Adolphe (1876-1960),Q2824771,Adolphe Beaufrère,1876.0,1960.0,True
DELAUNAY Jules Elie,,,,,False
Steinlen Théophile Alexandre (1859-1923),,,1859.0,1923.0,False
Rochette Raymond (1906-1993),Q3421122,Raymond Rochette,1906.0,1993.0,True
Rodin Auguste (1840-1917);GODARD Emile (fondeur),Q30755,Auguste Rodin,1840.0,1917.0,True
Izaure René (1929-2014),Q17314881,René Izaure,1929.0,2014.0,True
Okamoto Hiroko (1957-2007),,,1957.0,2007.0,False
FICHOT Michel Charles,,,,,False
Daumier Honoré (1808-1879),Q187506,Honoré Daumier,1808.0,1879.0,True
Flandrin Hippolyte (1809-1864),Q472235,Hippolyte Flandrin,1809.0,1864.0,True
Cahn Marcelle (1898-1981),Q543444,Marcelle Cahn,1895.0,1981.0,True
Boudot-Lamotte Maurice (1878-1958),Q16693728,Maurice Boudot-Lamotte,1878.0,1958.0,True
Gigoux Jean (1806-1894),Q1357191,Jean Gigoux,1806.0,1894.0,True
PROST Maurice (sculpteur),Q17350294,Maurice Prost,1894.0,,True
Aztèque (population),,,,,False
Utagawa Toyokuni (1786-1865),,,1786.0,1865.0,False
DIAZ DE LA PENA Narcisse,,,,,False
Chabaud Auguste (1882-1955),Q766261,Auguste Chabaud,1882.0,1955.0,True
Bonheur Rosa (1822-1899),Q241732,Rosa Bonheur,1822.0,1899.0,True
Gérard François (1770-1837) (attribué à),Q163543,François Gérard,1770.0,1837.0,True
Guingot Henri (1897-1952),Q19956144,Henri Guingot,1897.0,1952.0,True
Hurtret André (1895-1970),,,1895.0,1970.0,False
Bra Théophile (1797-1863),Q3526642,Théophile Bra,1797.0,1863.0,True
DEVERIA Eugène,,,,,False
Poussin Nicolas (1594-1665),Q41554,Nicolas Poussin,1594.0,1665.0,True
Schnegg Gaston (1866-1953),Q3099151,Gaston Schnegg,1866.0,1953.0,True
LESAGE Pierre Alexis,,,,,False
Tournay Louise (1925-2010),Q24285834,Louise Tournay,1925.0,2010.0,True
Lardeur Raphaël (1890-1967),Q3419474,Raphaël Lardeur,1890.0,1967.0,True
Schuffenecker Émile (1851-1934),Q286456,Émile Schuffenecker,1851.0,1934.0,True
Lépine Stanislas (1835-1892),Q1373489,Stanislas Lépine,1835.0,1892.0,True
Martin Henri (1860-1943),Q177978,Henri Martin,1860.0,1943.0,True
Barbot Prosper (1798-1878),Q3407757,Prosper Barbot,1798.0,1878.0,True
Gromaire Marcel (1892-1971),Q690155,Marcel Gromaire,1892.0,1971.0,True
DENIS Maurice (peintre),Q440369,Maurice Denis,1870.0,,True
Kikugawa Eizan (1787-1867),,,1787.0,1867.0,False
GREUZE Jean-Baptiste,Q347139,Jean-Baptiste Greuze,1725.0,,True
LEROY Paul Alexandre Alfred,,,,,False
Rousseau Théodore (1812-1867),Q310025,Théodore Rousseau,1812.0,1867.0,True
Court Joseph Désiré (1797-1865),,,1797.0,1865.0,False
DESEINE Louis Pierre,,,,,False
Muscat Alphonse (1871-1944),Q27095506,Alphonse Muscat,1871.0,1944.0,True
LEYGUE Louis,Q3262538,Louis Leygue,1891.0,,True
A C M,,,,,False
Peccatte Charles (1870-1962),Q2959959,Charles Peccatte,1870.0,1962.0,True
Venner Roland (1929-1995),,,1929.0,1995.0,False
COYPEL Noël,Q975135,Noël Coypel,1628.0,,True
Desnoyer François (1894-1972),Q3084439,François Desnoyer,1894.0,1972.0,True
Matisse Henri (1869-1954);Valsuani Claude (fondeur),Q5589,Henri Matisse,1869.0,1954.0,True
VIGOUREUX Pierre,Q78508149,Pierre Vigoureux,1944.0,,True
DURAND Charles Emile Auguste;CAROLUS-DURAN (dit),,,,,False
GUERIN Paulin Jean-Baptiste;PAULIN-GUERIN (dit),,,,,False
CARABIN François Rupert,,,,,False
Derain André (1880-1954),Q156272,André Derain,1880.0,1954.0,True
Chapron Nicolas (1612-1656?);Raphaël (1483-1520) (d'après),,,,,False
Delplanque Georges Emile (1903-1999),,,1903.0,1999.0,False
LARGILLIERE Nicolas de,,,,,False
Fantin-Latour Henri (1836-1904),Q310715,Henri Fantin-Latour,1836.0,1904.0,True
Degas Edgar (1834-1917),Q46373,Edgar Degas,1834.0,1917.0,True
Gauguin Paul (1848-1903),Q37693,Paul Gauguin,1848.0,1903.0,True
VALLOTTON Félix,Q123740,Q123740,1865.0,,True
CAMBON Armand,Q21511549,Armand Cambon,1819.0,,True
BESQUEUT André,Q19951649,André Besqueut,1850.0,,True
Greuze Jean-Baptiste (1725-1805),Q347139,Jean-Baptiste Greuze,1725.0,1805.0,True
Lébédeff Jean (1884-1972),Q3173291,Jean Lébédeff,1884.0,1972.0,True
SALOMON Bernard (1506-1561),Q2898582,Bernard Salomon,1500.0,1561.0,True
SILVESTRE Israël (1621-1691) : Graveur;HENRIET Israël (1590-1661) : Editeur,,,1621.0,1691.0,False
Chardin Jean-Baptiste Siméon (1699-1779),,,1699.0,1779.0,False
HOUASSE René Antoine,,,,,False
ALBRIER Joseph,Q3184472,Joseph Albrier,1791.0,,True
MAURY François,Q52150315,François Maury,1861.0,,True
LANSKOY André,Q321657,André Lanskoy,1902.0,,True
Jourdan Louis (1872-1948),Q2419898,Louis Jourdan,1872.0,1948.0,True
Boisecq Simone (1922-2012),Q2288061,Simone Boisecq,1922.0,2012.0,True
Fath Richard (1900-1952),Q26838105,Richard Fath,1900.0,1952.0,True
Fournier Louis-Édouard (1857-1917),,,1857.0,1917.0,False
BRASCASSAT Jacques Raymond,,,,,False
DUPRE Jules,,,,,False
ROUGET Georges,Q2164632,Georges Rouget,1783.0,,True
JOUANNY Paul,Q26839046,Paul Jouanny,1854.0,,True
HALOU Alfred Jean,,,,,False
Champin Jean-Jacques (1796-1860),Q6169354,Jean-Jacques Champin,1796.0,1860.0,True
Sarkis (1938-....),Q323186,Sarkis,1938.0,,True
Agutte Georgette (1867-1922),Q450730,Georgette Agutte,1867.0,1922.0,True
Fragonard Alexandre (1780-1850),,,1780.0,1850.0,False
VUEZ Arnould de,Q781910,Arnould de Vuez,1644.0,,True
Signac Paul (1863-1935),Q151573,Paul Signac,1863.0,1935.0,True
FERON Eloi Firmin,,,,,False
GAMELIN Jacques (peintre),Q1677984,Jacques Gamelin,1738.0,,True
Atelier de la vallée de l'Allier,,,,,False
Bouchor Joseph-Félix (1853-1937),Q2746848,Joseph-Félix Bouchor,1853.0,1937.0,True
Naigeon Jean Claude (1753-1832),,,1753.0,1832.0,False
Hilbert Jaro (1897-1995),Q3162756,Jaro Hilbert,1897.0,1995.0,True
Marcel-Jacques Alphonse (1864-1952),Q129168797,Alphonse Marcel-Jacques,1864.0,1952.0,True
Pellissier Berthe-Clémence (1874-1943),,,1874.0,1943.0,False
Righetti Guido (1875-1958),Q3119457,Guido Righetti,1875.0,1958.0,True
Couder Auguste (1789-1873),Q2067613,Auguste Couder,1789.0,1873.0,True
PRUD'HON Pierre Paul,,,,,False
MONTICELLI Adolphe Joseph,,,,,False
Pajou Augustin (1730-1809),Q524291,Augustin Pajou,1730.0,1809.0,True
Viollet-Le-Duc Eugène-Emmanuel (1814-1879),,,1814.0,1879.0,False
SMILOWSKI Jean,Q3174653,Jean Smilowski,1927.0,,True
Lapicque Charles (1898-1988),Q1065281,Charles Lapicque,1898.0,1988.0,True
Jarnoux Francis (1898-1985),,,1898.0,1985.0,False
MAUZAISSE Jean-Baptiste,Q3164276,Jean-Baptiste Mauzaisse,1784.0,,True
Cottavoz André (1922-2012),Q2847559,André Cottavoz,1922.0,2012.0,True
LA HUERTA Jean de (auteur);LE MOITURIER Antoine (auteur),,,,,False
HELLEU Paul César (peintre),,,,,False
Ben (1905-1989),Q22808297,Ben,1991.0,1989.0,True
Vandrey Lena (1941-2018),Q28911669,Lena Vandrey,1941.0,2018.0,True
Jouclard Adrienne (1882-1972),Q24205822,Adrienne Jouclard,1882.0,1972.0,True
GAUSSEN Alfred,Q26260763,Alfred Gaussen,1850.0,,True
Lancelot-Croce Marcelle Renée (1854-1938),,,1854.0,1938.0,False
LARIVIERE Philippe,,,,,False
LECOMTE Hippolyte,Q3100107,Hippolyte Lecomte,1781.0,,True
NATTIER Jean Marc,,,,,False
Suréda André (1872-1930),Q2848671,André Suréda,1872.0,1930.0,True
Herbin Auguste (1882-1960),Q706359,Auguste Herbin,1882.0,1960.0,True
Sérusier Paul (1864-1927),Q326606,Paul Sérusier,1864.0,1927.0,True
Miklos Gustave (1888-1967),Q3121272,Gustave Miklos,1888.0,1967.0,True
GOURDEL Pierre,Q3385284,Pierre Gourdel,1824.0,,True
HOUSSIN Edouard,,,,,False
BRAUNER Victor,Q558060,Victor Brauner,1903.0,,True
De Dietrich (fabricant),,,,,False
KLEY Louis (sculpteur),Q21030300,Louis Kley,1833.0,,True
Monard  (De) Louis (1873-1939),,,1873.0,1939.0,False
Baily Caroline (1857-1947),Q118140689,Caroline Baily,1857.0,1947.0,True
Glaize Léon (1842-1931),,,1842.0,1931.0,False
BERNIER Camille,Q2934856,Camille Bernier,1823.0,,True
GROS Antoine Jean baron,,,,,False
TROYON Constant,Q219403,Constant Troyon,1810.0,,True
DALOU Aimé Jules,,,,,False
HALOU Alfred Jean-Baptiste Paul,,,,,False
Brauner Victor (1903-1966),Q558060,Victor Brauner,1903.0,1966.0,True
Seguin Armand (1869-1903),Q4792704,Armand Seguin,1869.0,1903.0,True
Janet-Lange (1815-1872),,,1815.0,1872.0,False
Brokman Henry (1868-1933),Q28214480,Henry Brokman,1868.0,1933.0,True
BAUDRY Paul,Q131275977,Paul Baudry,1986.0,,True
HUET Paul,Q1354027,Paul Huet,1803.0,,True
Hausmann Raoul (1886-1971),Q84503,Raoul Hausmann,1886.0,1971.0,True
FRANCESCHI Jules,Q1711701,Jules Franceschi,1825.0,,True
Demachy Pierre-Antoine (1723-1807),Q3382841,Pierre-Antoine Demachy,1723.0,1807.0,True
Fouace Guillaume (1837-1895),Q643615,Guillaume Fouace,1837.0,1895.0,True
Mac Laughlan Donald Shaw,,,,,False
Profillet Anne-Marie (1898-1939),Q18571996,Anne-Marie Profillet,1898.0,1939.0,True
Vandrey Lena,Q28911669,Lena Vandrey,1941.0,,True
